StartDate,EndDate,HomeTeam,AwayTeam,Winner,Margin,Type,Ground,Scorecard
1959-06-04,1959-06-08,England,India,England,59,Innings,Nottingham,Test # 474
1959-06-18,1959-06-20,England,India,England,8,Wickets,Lord's,Test # 475
1959-07-02,1959-07-04,England,India,England,173,Innings,Leeds,Test # 476
1959-07-23,1959-07-28,England,India,England,171,Runs,Manchester,Test # 477
1959-08-20,1959-08-24,England,India,England,27,Innings,The Oval,Test # 478
1959-11-13,1959-11-18,Pakistan,Australia,Australia,8,Wickets,Dhaka,Test # 479
1959-11-21,1959-11-26,Pakistan,Australia,Australia,7,Wickets,Lahore,Test # 480
1959-12-04,1959-12-09,Pakistan,Australia,Drawn,NA,NA,Karachi,Test # 481
1959-12-12,1959-12-16,India,Australia,Australia,127,Innings,Delhi,Test # 482
1959-12-19,1959-12-24,India,Australia,India,119,Runs,Kanpur,Test # 483
1960-01-01,1960-01-06,India,Australia,Drawn,NA,NA,Mumbai (BS),Test # 484
1960-01-06,1960-01-12,West Indies,England,Drawn,NA,NA,Bridgetown,Test # 485
1960-01-13,1960-01-17,India,Australia,Australia,55,Innings,Chennai,Test # 486
1960-01-23,1960-01-28,India,Australia,Drawn,NA,NA,Kolkata,Test # 487
1960-01-28,1960-02-03,West Indies,England,England,256,Runs,Port of Spain,Test # 488
1960-02-17,1960-02-23,West Indies,England,Drawn,NA,NA,Kingston,Test # 489
1960-03-09,1960-03-15,West Indies,England,Drawn,NA,NA,Georgetown,Test # 490
1960-03-25,1960-03-31,West Indies,England,Drawn,NA,NA,Port of Spain,Test # 491
1960-06-09,1960-06-14,England,South Africa,England,100,Runs,Birmingham,Test # 492
1960-06-23,1960-06-27,England,South Africa,England,73,Innings,Lord's,Test # 493
1960-07-07,1960-07-11,England,South Africa,England,8,Wickets,Nottingham,Test # 494
1960-07-21,1960-07-26,England,South Africa,Drawn,NA,NA,Manchester,Test # 495
1960-08-18,1960-08-23,England,South Africa,Drawn,NA,NA,The Oval,Test # 496
1960-12-02,1960-12-07,India,Pakistan,Drawn,NA,NA,Mumbai (BS),Test # 497
1960-12-09,1960-12-14,Australia,West Indies,Tied,NA,NA,Brisbane,Test # 498
1960-12-16,1960-12-21,India,Pakistan,Drawn,NA,NA,Kanpur,Test # 499
1960-12-30,1961-01-03,Australia,West Indies,Australia,7,Wickets,Melbourne,Test # 500
1960-12-30,1961-01-04,India,Pakistan,Drawn,NA,NA,Kolkata,Test # 501
1961-01-13,1961-01-18,Australia,West Indies,West Indies,222,Runs,Sydney,Test # 502
1961-01-13,1961-01-18,India,Pakistan,Drawn,NA,NA,Chennai,Test # 503
1961-01-27,1961-02-01,Australia,West Indies,Drawn,NA,NA,Adelaide,Test # 504
1961-02-08,1961-02-13,India,Pakistan,Drawn,NA,NA,Delhi,Test # 505
1961-02-10,1961-02-15,Australia,West Indies,Australia,2,Wickets,Melbourne,Test # 506
1961-06-08,1961-06-13,England,Australia,Drawn,NA,NA,Birmingham,Test # 507
1961-06-22,1961-06-26,England,Australia,Australia,5,Wickets,Lord's,Test # 508
1961-07-06,1961-07-08,England,Australia,England,8,Wickets,Leeds,Test # 509
1961-07-27,1961-08-01,England,Australia,Australia,54,Runs,Manchester,Test # 510
1961-08-17,1961-08-22,England,Australia,Drawn,NA,NA,The Oval,Test # 511
1961-10-21,1961-10-26,Pakistan,England,England,5,Wickets,Lahore,Test # 512
1961-11-11,1961-11-16,India,England,Drawn,NA,NA,Mumbai (BS),Test # 513
1961-12-01,1961-12-06,India,England,Drawn,NA,NA,Kanpur,Test # 514
1961-12-08,1961-12-12,South Africa,New Zealand,South Africa,30,Runs,Durban,Test # 515
1961-12-13,1961-12-18,India,England,Drawn,NA,NA,Delhi,Test # 516
1961-12-26,1961-12-29,South Africa,New Zealand,Drawn,NA,NA,Johannesburg,Test # 517
1961-12-30,1962-01-04,India,England,India,187,Runs,Kolkata,Test # 518
1962-01-01,1962-01-04,South Africa,New Zealand,New Zealand,72,Runs,Cape Town,Test # 519
1962-01-10,1962-01-15,India,England,India,128,Runs,Chennai,Test # 520
1962-01-19,1962-01-24,Pakistan,England,Drawn,NA,NA,Dhaka,Test # 521
1962-02-02,1962-02-07,Pakistan,England,Drawn,NA,NA,Karachi,Test # 522
1962-02-02,1962-02-05,South Africa,New Zealand,South Africa,51,Innings,Johannesburg,Test # 523
1962-02-16,1962-02-20,South Africa,New Zealand,New Zealand,40,Runs,Port Elizabeth,Test # 524
1962-02-16,1962-02-20,West Indies,India,West Indies,10,Wickets,Port of Spain,Test # 525
1962-03-07,1962-03-12,West Indies,India,West Indies,18,Innings,Kingston,Test # 526
1962-03-23,1962-03-28,West Indies,India,West Indies,30,Innings,Bridgetown,Test # 527
1962-04-04,1962-04-09,West Indies,India,West Indies,7,Wickets,Port of Spain,Test # 528
1962-04-13,1962-04-18,West Indies,India,West Indies,123,Runs,Kingston,Test # 529
1962-05-31,1962-06-04,England,Pakistan,England,24,Innings,Birmingham,Test # 530
1962-06-21,1962-06-23,England,Pakistan,England,9,Wickets,Lord's,Test # 531
1962-07-05,1962-07-07,England,Pakistan,England,117,Innings,Leeds,Test # 532
1962-07-26,1962-07-31,England,Pakistan,Drawn,NA,NA,Nottingham,Test # 533
1962-08-16,1962-08-20,England,Pakistan,England,10,Wickets,The Oval,Test # 534
1962-11-30,1962-12-05,Australia,England,Drawn,NA,NA,Brisbane,Test # 535
1962-12-29,1963-01-03,Australia,England,England,7,Wickets,Melbourne,Test # 536
1963-01-11,1963-01-15,Australia,England,Australia,8,Wickets,Sydney,Test # 537
1963-01-25,1963-01-30,Australia,England,Drawn,NA,NA,Adelaide,Test # 538
1963-02-15,1963-02-20,Australia,England,Drawn,NA,NA,Sydney,Test # 539
1963-02-23,1963-02-27,New Zealand,England,England,215,Innings,Auckland,Test # 540
1963-03-01,1963-03-04,New Zealand,England,England,47,Innings,Wellington,Test # 541
1963-03-15,1963-03-19,New Zealand,England,England,7,Wickets,Christchurch,Test # 542
1963-06-06,1963-06-10,England,West Indies,West Indies,10,Wickets,Manchester,Test # 543
1963-06-20,1963-06-25,England,West Indies,Drawn,NA,NA,Lord's,Test # 544
1963-07-04,1963-07-09,England,West Indies,England,217,Runs,Birmingham,Test # 545
1963-07-25,1963-07-29,England,West Indies,West Indies,221,Runs,Leeds,Test # 546
1963-08-22,1963-08-26,England,West Indies,West Indies,8,Wickets,The Oval,Test # 547
1963-12-06,1963-12-11,Australia,South Africa,Drawn,NA,NA,Brisbane,Test # 548
1964-01-01,1964-01-06,Australia,South Africa,Australia,8,Wickets,Melbourne,Test # 549
1964-01-10,1964-01-15,Australia,South Africa,Drawn,NA,NA,Sydney,Test # 550
1964-01-10,1964-01-15,India,England,Drawn,NA,NA,Chennai,Test # 551
1964-01-21,1964-01-26,India,England,Drawn,NA,NA,Mumbai (BS),Test # 552
1964-01-24,1964-01-29,Australia,South Africa,South Africa,10,Wickets,Adelaide,Test # 553
1964-01-29,1964-02-03,India,England,Drawn,NA,NA,Kolkata,Test # 554
1964-02-07,1964-02-12,Australia,South Africa,Drawn,NA,NA,Sydney,Test # 555
1964-02-08,1964-02-13,India,England,Drawn,NA,NA,Delhi,Test # 556
1964-02-15,1964-02-20,India,England,Drawn,NA,NA,Kanpur,Test # 557
1964-02-21,1964-02-25,New Zealand,South Africa,Drawn,NA,NA,Wellington,Test # 558
1964-02-28,1964-03-03,New Zealand,South Africa,Drawn,NA,NA,Dunedin,Test # 559
1964-03-13,1964-03-17,New Zealand,South Africa,Drawn,NA,NA,Auckland,Test # 560
1964-06-04,1964-06-09,England,Australia,Drawn,NA,NA,Nottingham,Test # 561
1964-06-18,1964-06-23,England,Australia,Drawn,NA,NA,Lord's,Test # 562
1964-07-02,1964-07-06,England,Australia,Australia,7,Wickets,Leeds,Test # 563
1964-07-23,1964-07-28,England,Australia,Drawn,NA,NA,Manchester,Test # 564
1964-08-13,1964-08-18,England,Australia,Drawn,NA,NA,The Oval,Test # 565
1964-10-02,1964-10-07,India,Australia,Australia,139,Runs,Chennai,Test # 566
1964-10-10,1964-10-15,India,Australia,India,2,Wickets,Mumbai (BS),Test # 567
1964-10-17,1964-10-22,India,Australia,Drawn,NA,NA,Kolkata,Test # 568
1964-10-24,1964-10-29,Pakistan,Australia,Drawn,NA,NA,Karachi,Test # 569
1964-12-04,1964-12-08,Australia,Pakistan,Drawn,NA,NA,Melbourne,Test # 570
1964-12-04,1964-12-08,South Africa,England,England,104,Innings,Durban,Test # 571
1964-12-23,1964-12-29,South Africa,England,Drawn,NA,NA,Johannesburg,Test # 572
1965-01-01,1965-01-06,South Africa,England,Drawn,NA,NA,Cape Town,Test # 573
1965-01-22,1965-01-26,New Zealand,Pakistan,Drawn,NA,NA,Wellington,Test # 574
