StartDate,EndDate,HomeTeam,AwayTeam,Winner,Margin,Type,Ground,Scorecard
1965-08-26,1965-08-31,England,South Africa,Drawn,NA,NA,The Oval,Test # 596
1965-12-10,1965-12-15,Australia,England,Drawn,NA,NA,Brisbane,Test # 597
1965-12-30,1966-01-04,Australia,England,Drawn,NA,NA,Melbourne,Test # 598
1966-01-07,1966-01-11,Australia,England,England,93,Innings,Sydney,Test # 599
1966-01-28,1966-02-01,Australia,England,Australia,9,Innings,Adelaide,Test # 600
1966-02-11,1966-02-16,Australia,England,Drawn,NA,NA,Melbourne,Test # 601
1966-02-25,1966-03-01,New Zealand,England,Drawn,NA,NA,Christchurch,Test # 602
1966-03-04,1966-03-08,New Zealand,England,Drawn,NA,NA,Dunedin,Test # 603
1966-03-11,1966-03-15,New Zealand,England,Drawn,NA,NA,Auckland,Test # 604
1966-06-02,1966-06-04,England,West Indies,West Indies,40,Innings,Manchester,Test # 605
1966-06-16,1966-06-21,England,West Indies,Drawn,NA,NA,Lord's,Test # 606
1966-06-30,1966-07-05,England,West Indies,West Indies,139,Runs,Nottingham,Test # 607
1966-08-04,1966-08-08,England,West Indies,West Indies,55,Innings,Leeds,Test # 608
1966-08-18,1966-08-22,England,West Indies,England,34,Innings,The Oval,Test # 609
1966-12-13,1966-12-18,India,West Indies,West Indies,6,Wickets,Mumbai (BS),Test # 610
1966-12-23,1966-12-28,South Africa,Australia,South Africa,233,Runs,Johannesburg,Test # 611
1966-12-31,1967-01-05,India,West Indies,West Indies,45,Innings,Kolkata,Test # 612
1966-12-31,1967-01-05,South Africa,Australia,Australia,6,Wickets,Cape Town,Test # 613
1967-01-13,1967-01-18,India,West Indies,Drawn,NA,NA,Chennai,Test # 614
1967-01-20,1967-01-25,South Africa,Australia,South Africa,8,Wickets,Durban,Test # 615
1967-02-03,1967-02-08,South Africa,Australia,Drawn,NA,NA,Johannesburg,Test # 616
1967-02-24,1967-02-28,South Africa,Australia,South Africa,7,Wickets,Port Elizabeth,Test # 617
1967-06-08,1967-06-13,England,India,England,6,Wickets,Leeds,Test # 618
1967-06-22,1967-06-26,England,India,England,124,Innings,Lord's,Test # 619
1967-07-13,1967-07-15,England,India,England,132,Runs,Birmingham,Test # 620
1967-07-27,1967-08-01,England,Pakistan,Drawn,NA,NA,Lord's,Test # 621
1967-08-10,1967-08-15,England,Pakistan,England,10,Wickets,Nottingham,Test # 622
1967-08-24,1967-08-28,England,Pakistan,England,8,Wickets,The Oval,Test # 623
1967-12-23,1967-12-28,Australia,India,Australia,146,Runs,Adelaide,Test # 624
1967-12-30,1968-01-03,Australia,India,Australia,4,Innings,Melbourne,Test # 625
1968-01-19,1968-01-24,Australia,India,Australia,39,Runs,Brisbane,Test # 626
1968-01-19,1968-01-24,West Indies,England,Drawn,NA,NA,Port of Spain,Test # 627
1968-01-26,1968-01-31,Australia,India,Australia,144,Runs,Sydney,Test # 628
1968-02-08,1968-02-14,West Indies,England,Drawn,NA,NA,Kingston,Test # 629
1968-02-15,1968-02-20,New Zealand,India,India,5,Wickets,Dunedin,Test # 630
1968-02-22,1968-02-27,New Zealand,India,New Zealand,6,Wickets,Christchurch,Test # 631
1968-02-29,1968-03-04,New Zealand,India,India,8,Wickets,Wellington,Test # 632
1968-02-29,1968-03-05,West Indies,England,Drawn,NA,NA,Bridgetown,Test # 633
1968-03-07,1968-03-12,New Zealand,India,India,272,Runs,Auckland,Test # 634
1968-03-14,1968-03-19,West Indies,England,England,7,Wickets,Port of Spain,Test # 635
1968-03-28,1968-04-03,West Indies,England,Drawn,NA,NA,Georgetown,Test # 636
1968-06-06,1968-06-11,England,Australia,Australia,159,Runs,Manchester,Test # 637
1968-06-20,1968-06-25,England,Australia,Drawn,NA,NA,Lord's,Test # 638
1968-07-11,1968-07-16,England,Australia,Drawn,NA,NA,Birmingham,Test # 639
1968-07-25,1968-07-30,England,Australia,Drawn,NA,NA,Leeds,Test # 640
1968-08-22,1968-08-27,England,Australia,England,226,Runs,The Oval,Test # 641
1968-12-06,1968-12-10,Australia,West Indies,West Indies,125,Runs,Brisbane,Test # 642
1968-12-26,1968-12-30,Australia,West Indies,Australia,30,Innings,Melbourne,Test # 643
1969-01-03,1969-01-08,Australia,West Indies,Australia,10,Wickets,Sydney,Test # 644
1969-01-24,1969-01-29,Australia,West Indies,Drawn,NA,NA,Adelaide,Test # 645
1969-02-14,1969-02-20,Australia,West Indies,Australia,382,Runs,Sydney,Test # 646
1969-02-21,1969-02-24,Pakistan,England,Drawn,NA,NA,Lahore,Test # 647
1969-02-27,1969-03-03,New Zealand,West Indies,West Indies,5,Wickets,Auckland,Test # 648
1969-02-28,1969-03-03,Pakistan,England,Drawn,NA,NA,Dhaka,Test # 649
1969-03-06,1969-03-10,Pakistan,England,Drawn,NA,NA,Karachi,Test # 650
1969-03-07,1969-03-11,New Zealand,West Indies,New Zealand,6,Wickets,Wellington,Test # 651
1969-03-13,1969-03-17,New Zealand,West Indies,Drawn,NA,NA,Christchurch,Test # 652
1969-06-12,1969-06-17,England,West Indies,England,10,Wickets,Manchester,Test # 653
1969-06-26,1969-07-01,England,West Indies,Drawn,NA,NA,Lord's,Test # 654
1969-07-10,1969-07-15,England,West Indies,England,30,Runs,Leeds,Test # 655
1969-07-24,1969-07-28,England,New Zealand,England,230,Runs,Lord's,Test # 656
1969-08-07,1969-08-12,England,New Zealand,Drawn,NA,NA,Nottingham,Test # 657
1969-08-21,1969-08-26,England,New Zealand,England,8,Wickets,The Oval,Test # 658
1969-09-25,1969-09-30,India,New Zealand,India,60,Runs,Mumbai (BS),Test # 659
1969-10-03,1969-10-08,India,New Zealand,New Zealand,167,Runs,Nagpur,Test # 660
1969-10-15,1969-10-20,India,New Zealand,Drawn,NA,NA,Hyderabad (Deccan),Test # 661
1969-10-24,1969-10-27,Pakistan,New Zealand,Drawn,NA,NA,Karachi,Test # 662
1969-10-30,1969-11-02,Pakistan,New Zealand,New Zealand,5,Wickets,Lahore,Test # 663
1969-11-04,1969-11-09,India,Australia,Australia,8,Wickets,Mumbai (BS),Test # 664
1969-11-08,1969-11-11,Pakistan,New Zealand,Drawn,NA,NA,Dhaka,Test # 665
1969-11-15,1969-11-20,India,Australia,Drawn,NA,NA,Kanpur,Test # 666
1969-11-28,1969-12-02,India,Australia,India,7,Wickets,Delhi,Test # 667
1969-12-12,1969-12-16,India,Australia,Australia,10,Wickets,Kolkata,Test # 668
1969-12-24,1969-12-28,India,Australia,Australia,77,Runs,Chennai,Test # 669
1970-01-22,1970-01-27,South Africa,Australia,South Africa,170,Runs,Cape Town,Test # 670
1970-02-05,1970-02-09,South Africa,Australia,South Africa,129,Innings,Durban,Test # 671
1970-02-19,1970-02-24,South Africa,Australia,South Africa,307,Runs,Johannesburg,Test # 672
1970-03-05,1970-03-10,South Africa,Australia,South Africa,323,Runs,Port Elizabeth,Test # 673
1970-11-27,1970-12-02,Australia,England,Drawn,NA,NA,Brisbane,Test # 674
1970-12-11,1970-12-16,Australia,England,Drawn,NA,NA,Perth,Test # 675
1971-01-09,1971-01-14,Australia,England,England,299,Runs,Sydney,Test # 676
1971-01-21,1971-01-26,Australia,England,Drawn,NA,NA,Melbourne,Test # 677
1971-01-29,1971-02-03,Australia,England,Drawn,NA,NA,Adelaide,Test # 678
1971-02-12,1971-02-17,Australia,England,England,62,Runs,Sydney,Test # 679
1971-02-18,1971-02-23,West Indies,India,Drawn,NA,NA,Kingston,Test # 680
1971-02-25,1971-03-01,New Zealand,England,England,8,Wickets,Christchurch,Test # 681
1971-03-05,1971-03-08,New Zealand,England,Drawn,NA,NA,Auckland,Test # 682
1971-03-06,1971-03-10,West Indies,India,India,7,Wickets,Port of Spain,Test # 683
1971-03-19,1971-03-24,West Indies,India,Drawn,NA,NA,Georgetown,Test # 684
1971-04-01,1971-04-06,West Indies,India,Drawn,NA,NA,Bridgetown,Test # 685
1971-04-13,1971-04-19,West Indies,India,Drawn,NA,NA,Port of Spain,Test # 686
1971-06-03,1971-06-08,England,Pakistan,Drawn,NA,NA,Birmingham,Test # 687
1971-06-17,1971-06-22,England,Pakistan,Drawn,NA,NA,Lord's,Test # 688
1971-07-08,1971-07-13,England,Pakistan,England,25,Runs,Leeds,Test # 689
1971-07-22,1971-07-27,England,India,Drawn,NA,NA,Lord's,Test # 690
1971-08-05,1971-08-10,England,India,Drawn,NA,NA,Manchester,Test # 691
1971-08-19,1971-08-24,England,India,India,4,Wickets,The Oval,Test # 692
1972-02-16,1972-02-21,West Indies,New Zealand,Drawn,NA,NA,Kingston,Test # 693
1972-03-09,1972-03-14,West Indies,New Zealand,Drawn,NA,NA,Port of Spain,Test # 694
1972-03-23,1972-03-28,West Indies,New Zealand,Drawn,NA,NA,Bridgetown,Test # 695
1972-04-06,1972-04-11,West Indies,New Zealand,Drawn,NA,NA,Georgetown,Test # 696
1972-04-20,1972-04-26,West Indies,New Zealand,Drawn,NA,NA,Port of Spain,Test # 697
1972-06-08,1972-06-13,England,Australia,England,89,Runs,Manchester,Test # 698
1972-06-22,1972-06-26,England,Australia,Australia,8,Wickets,Lord's,Test # 699
1972-07-13,1972-07-18,England,Australia,Drawn,NA,NA,Nottingham,Test # 700
1972-07-27,1972-07-29,England,Australia,England,9,Wickets,Leeds,Test # 701
1972-08-10,1972-08-16,England,Australia,Australia,5,Wickets,The Oval,Test # 702
1972-12-20,1972-12-25,India,England,England,6,Wickets,Delhi,Test # 703
1972-12-22,1972-12-27,Australia,Pakistan,Australia,114,Innings,Adelaide,Test # 704
1972-12-29,1973-01-03,Australia,Pakistan,Australia,92,Runs,Melbourne,Test # 705
1972-12-30,1973-01-04,India,England,India,28,Runs,Kolkata,Test # 706
1973-01-06,1973-01-11,Australia,Pakistan,Australia,52,Runs,Sydney,Test # 707
1973-01-12,1973-01-17,India,England,India,4,Wickets,Chennai,Test # 708
1973-01-25,1973-01-30,India,England,Drawn,NA,NA,Kanpur,Test # 709
1973-02-02,1973-02-05,New Zealand,Pakistan,Drawn,NA,NA,Wellington,Test # 710
1973-02-06,1973-02-11,India,England,Drawn,NA,NA,Mumbai (BS),Test # 711
1973-02-07,1973-02-10,New Zealand,Pakistan,Pakistan,166,Innings,Dunedin,Test # 712
1973-02-16,1973-02-19,New Zealand,Pakistan,Drawn,NA,NA,Auckland,Test # 713
1973-02-16,1973-02-21,West Indies,Australia,Drawn,NA,NA,Kingston,Test # 714
1973-03-02,1973-03-07,Pakistan,England,Drawn,NA,NA,Lahore,Test # 715
1973-03-09,1973-03-14,West Indies,Australia,Drawn,NA,NA,Bridgetown,Test # 716
1973-03-16,1973-03-21,Pakistan,England,Drawn,NA,NA,Hyderabad (Sind),Test # 717
1973-03-23,1973-03-28,West Indies,Australia,Australia,44,Runs,Port of Spain,Test # 718
1973-03-24,1973-03-29,Pakistan,England,Drawn,NA,NA,Karachi,Test # 719
1973-04-06,1973-04-11,West Indies,Australia,Australia,10,Wickets,Georgetown,Test # 720
1973-04-21,1973-04-26,West Indies,Australia,Drawn,NA,NA,Port of Spain,Test # 721
1973-06-07,1973-06-12,England,New Zealand,England,38,Runs,Nottingham,Test # 722
1973-06-21,1973-06-26,England,New Zealand,Drawn,NA,NA,Lord's,Test # 723
1973-07-05,1973-07-10,England,New Zealand,England,1,Innings,Leeds,Test # 724
1973-07-26,1973-07-31,England,West Indies,West Indies,158,Runs,The Oval,Test # 725
1973-08-09,1973-08-14,England,West Indies,Drawn,NA,NA,Birmingham,Test # 726
1973-08-23,1973-08-27,England,West Indies,West Indies,226,Innings,Lord's,Test # 727
1973-12-29,1974-01-02,Australia,New Zealand,Australia,25,Innings,Melbourne,Test # 728
1974-01-05,1974-01-10,Australia,New Zealand,Drawn,NA,NA,Sydney,Test # 729
1974-01-26,1974-01-31,Australia,New Zealand,Australia,57,Innings,Adelaide,Test # 730
1974-02-02,1974-02-07,West Indies,England,West Indies,7,Wickets,Port of Spain,Test # 731
1974-02-16,1974-02-21,West Indies,England,Drawn,NA,NA,Kingston,Test # 732
1974-03-01,1974-03-06,New Zealand,Australia,Drawn,NA,NA,Wellington,Test # 733
1974-03-06,1974-03-11,West Indies,England,Drawn,NA,NA,Bridgetown,Test # 734
1974-03-08,1974-03-13,New Zealand,Australia,New Zealand,5,Wickets,Christchurch,Test # 735
1974-03-22,1974-03-24,New Zealand,Australia,Australia,297,Runs,Auckland,Test # 736
1974-03-22,1974-03-27,West Indies,England,Drawn,NA,NA,Georgetown,Test # 737
1974-03-30,1974-04-05,West Indies,England,England,26,Runs,Port of Spain,Test # 738
1974-06-06,1974-06-11,England,India,England,113,Runs,Manchester,Test # 739
1974-06-20,1974-06-24,England,India,England,285,Innings,Lord's,Test # 740
1974-07-04,1974-07-08,England,India,England,78,Innings,Birmingham,Test # 741
1974-07-25,1974-07-30,England,Pakistan,Drawn,NA,NA,Leeds,Test # 742
1974-08-08,1974-08-13,England,Pakistan,Drawn,NA,NA,Lord's,Test # 743
1974-08-22,1974-08-27,England,Pakistan,Drawn,NA,NA,The Oval,Test # 744
1974-11-22,1974-11-27,India,West Indies,West Indies,267,Runs,Bengaluru,Test # 745
1974-11-29,1974-12-04,Australia,England,Australia,166,Runs,Brisbane,Test # 746
1974-12-11,1974-12-15,India,West Indies,West Indies,17,Innings,Delhi,Test # 747
1974-12-13,1974-12-17,Australia,England,Australia,9,Wickets,Perth,Test # 748
1974-12-26,1974-12-31,Australia,England,Drawn,NA,NA,Melbourne,Test # 749
1974-12-27,1975-01-01,India,West Indies,India,85,Runs,Kolkata,Test # 750
1975-01-04,1975-01-09,Australia,England,Australia,171,Runs,Sydney,Test # 751
1975-01-11,1975-01-15,India,West Indies,India,100,Runs,Chennai,Test # 752
1975-01-23,1975-01-29,India,West Indies,West Indies,201,Runs,Mumbai,Test # 753
1975-01-25,1975-01-30,Australia,England,Australia,163,Runs,Adelaide,Test # 754
1975-02-08,1975-02-13,Australia,England,England,4,Innings,Melbourne,Test # 755
1975-02-15,1975-02-20,Pakistan,West Indies,Drawn,NA,NA,Lahore,Test # 756
1975-02-20,1975-02-25,New Zealand,England,England,83,Innings,Auckland,Test # 757
1975-02-28,1975-03-05,New Zealand,England,Drawn,NA,NA,Christchurch,Test # 758
1975-03-01,1975-03-06,Pakistan,West Indies,Drawn,NA,NA,Karachi,Test # 759
1975-07-10,1975-07-14,England,Australia,Australia,85,Innings,Birmingham,Test # 760
1975-07-31,1975-08-05,England,Australia,Drawn,NA,NA,Lord's,Test # 761
1975-08-14,1975-08-19,England,Australia,Drawn,NA,NA,Leeds,Test # 762
1975-08-28,1975-09-03,England,Australia,Drawn,NA,NA,The Oval,Test # 763
1975-11-28,1975-12-02,Australia,West Indies,Australia,8,Wickets,Brisbane,Test # 764
1975-12-12,1975-12-16,Australia,West Indies,West Indies,87,Innings,Perth,Test # 765
1975-12-26,1975-12-30,Australia,West Indies,Australia,8,Wickets,Melbourne,Test # 766
1976-01-03,1976-01-07,Australia,West Indies,Australia,7,Wickets,Sydney,Test # 767
1976-01-23,1976-01-28,Australia,West Indies,Australia,190,Runs,Adelaide,Test # 768
1976-01-24,1976-01-28,New Zealand,India,India,8,Wickets,Auckland,Test # 769
1976-01-31,1976-02-05,Australia,West Indies,Australia,165,Runs,Melbourne,Test # 770
1976-02-05,1976-02-10,New Zealand,India,Drawn,NA,NA,Christchurch,Test # 771
1976-02-13,1976-02-17,New Zealand,India,New Zealand,33,Innings,Wellington,Test # 772
1976-03-10,1976-03-13,West Indies,India,West Indies,97,Innings,Bridgetown,Test # 773
1976-03-24,1976-03-29,West Indies,India,Drawn,NA,NA,Port of Spain,Test # 774
1976-04-07,1976-04-12,West Indies,India,India,6,Wickets,Port of Spain,Test # 775
1976-04-21,1976-04-25,West Indies,India,West Indies,10,Wickets,Kingston,Test # 776
1976-06-03,1976-06-08,England,West Indies,Drawn,NA,NA,Nottingham,Test # 777
1976-06-17,1976-06-22,England,West Indies,Drawn,NA,NA,Lord's,Test # 778
1976-07-08,1976-07-13,England,West Indies,West Indies,425,Runs,Manchester,Test # 779
1976-07-22,1976-07-27,England,West Indies,West Indies,55,Runs,Leeds,Test # 780
1976-08-12,1976-08-17,England,West Indies,West Indies,231,Runs,The Oval,Test # 781
1976-10-09,1976-10-13,Pakistan,New Zealand,Pakistan,6,Wickets,Lahore,Test # 782
1976-10-23,1976-10-27,Pakistan,New Zealand,Pakistan,10,Wickets,Hyderabad (Sind),Test # 783
1976-10-30,1976-11-04,Pakistan,New Zealand,Drawn,NA,NA,Karachi,Test # 784
1976-11-10,1976-11-15,India,New Zealand,India,162,Runs,Mumbai,Test # 785
1976-11-18,1976-11-23,India,New Zealand,Drawn,NA,NA,Kanpur,Test # 786
1976-11-26,1976-12-02,India,New Zealand,India,216,Runs,Chennai,Test # 787
1976-12-17,1976-12-22,India,England,England,25,Innings,Delhi,Test # 788
1976-12-24,1976-12-29,Australia,Pakistan,Drawn,NA,NA,Adelaide,Test # 789
1977-01-01,1977-01-06,Australia,Pakistan,Australia,348,Runs,Melbourne,Test # 790
1977-01-01,1977-01-06,India,England,England,10,Wickets,Kolkata,Test # 791
1977-01-14,1977-01-18,Australia,Pakistan,Pakistan,8,Wickets,Sydney,Test # 792
1977-01-14,1977-01-19,India,England,England,200,Runs,Chennai,Test # 793
1977-01-28,1977-02-02,India,England,India,140,Runs,Bengaluru,Test # 794
1977-02-11,1977-02-16,India,England,Drawn,NA,NA,Mumbai,Test # 795
1977-02-18,1977-02-23,New Zealand,Australia,Drawn,NA,NA,Christchurch,Test # 796
1977-02-18,1977-02-23,West Indies,Pakistan,Drawn,NA,NA,Bridgetown,Test # 797
1977-02-25,1977-03-01,New Zealand,Australia,Australia,10,Wickets,Auckland,Test # 798
1977-03-04,1977-03-09,West Indies,Pakistan,West Indies,6,Wickets,Port of Spain,Test # 799
1977-03-12,1977-03-17,Australia,England,Australia,45,Runs,Melbourne,Test # 800
1977-03-18,1977-03-23,West Indies,Pakistan,Drawn,NA,NA,Georgetown,Test # 801
1977-04-01,1977-04-06,West Indies,Pakistan,Pakistan,266,Runs,Port of Spain,Test # 802
1977-04-15,1977-04-20,West Indies,Pakistan,West Indies,140,Runs,Kingston,Test # 803
1977-06-16,1977-06-21,England,Australia,Drawn,NA,NA,Lord's,Test # 804
1977-07-07,1977-07-12,England,Australia,England,9,Wickets,Manchester,Test # 805
1977-07-28,1977-08-02,England,Australia,England,7,Wickets,Nottingham,Test # 806
1977-08-11,1977-08-15,England,Australia,England,85,Innings,Leeds,Test # 807
1977-08-25,1977-08-30,England,Australia,Drawn,NA,NA,The Oval,Test # 808
1977-12-02,1977-12-06,Australia,India,Australia,16,Runs,Brisbane,Test # 809
1977-12-14,1977-12-19,Pakistan,England,Drawn,NA,NA,Lahore,Test # 810
1977-12-16,1977-12-21,Australia,India,Australia,2,Wickets,Perth,Test # 811
1977-12-30,1978-01-04,Australia,India,India,222,Runs,Melbourne,Test # 812
1978-01-02,1978-01-07,Pakistan,England,Drawn,NA,NA,Hyderabad (Sind),Test # 813
1978-01-07,1978-01-12,Australia,India,India,2,Innings,Sydney,Test # 814
1978-01-18,1978-01-23,Pakistan,England,Drawn,NA,NA,Karachi,Test # 815
1978-01-28,1978-02-03,Australia,India,Australia,47,Runs,Adelaide,Test # 816
1978-02-10,1978-02-15,New Zealand,England,New Zealand,72,Runs,Wellington,Test # 817
1978-02-24,1978-03-01,New Zealand,England,England,174,Runs,Christchurch,Test # 818
1978-03-03,1978-03-05,West Indies,Australia,West Indies,106,Innings,Port of Spain,Test # 819
1978-03-04,1978-03-10,New Zealand,England,Drawn,NA,NA,Auckland,Test # 820
1978-03-17,1978-03-19,West Indies,Australia,West Indies,9,Wickets,Bridgetown,Test # 821
1978-03-31,1978-04-05,West Indies,Australia,Australia,3,Wickets,Georgetown,Test # 822
1978-04-15,1978-04-18,West Indies,Australia,West Indies,198,Runs,Port of Spain,Test # 823
1978-04-28,1978-05-03,West Indies,Australia,Drawn,NA,NA,Kingston,Test # 824
1978-06-01,1978-06-05,England,Pakistan,England,57,Innings,Birmingham,Test # 825
1978-06-15,1978-06-19,England,Pakistan,England,120,Innings,Lord's,Test # 826
1978-06-29,1978-07-04,England,Pakistan,Drawn,NA,NA,Leeds,Test # 827
1978-07-27,1978-08-01,England,New Zealand,England,7,Wickets,The Oval,Test # 828
1978-08-10,1978-08-14,England,New Zealand,England,119,Innings,Nottingham,Test # 829
1978-08-24,1978-08-28,England,New Zealand,England,7,Wickets,Lord's,Test # 830
1978-10-16,1978-10-21,Pakistan,India,Drawn,NA,NA,Faisalabad,Test # 831
1978-10-27,1978-11-01,Pakistan,India,Pakistan,8,Wickets,Lahore,Test # 832
1978-11-14,1978-11-19,Pakistan,India,Pakistan,8,Wickets,Karachi,Test # 833
1978-12-01,1978-12-06,Australia,England,England,7,Wickets,Brisbane,Test # 834
1978-12-01,1978-12-06,India,West Indies,Drawn,NA,NA,Mumbai,Test # 835
1978-12-15,1978-12-20,Australia,England,England,166,Runs,Perth,Test # 836
1978-12-15,1978-12-20,India,West Indies,Drawn,NA,NA,Bengaluru,Test # 837
1978-12-29,1979-01-03,Australia,England,Australia,103,Runs,Melbourne,Test # 838
1978-12-29,1979-01-03,India,West Indies,Drawn,NA,NA,Kolkata,Test # 839
1979-01-06,1979-01-11,Australia,England,England,93,Runs,Sydney,Test # 840
1979-01-12,1979-01-16,India,West Indies,India,3,Wickets,Chennai,Test # 841
1979-01-24,1979-01-29,India,West Indies,Drawn,NA,NA,Delhi,Test # 842
1979-01-27,1979-02-01,Australia,England,England,205,Runs,Adelaide,Test # 843
1979-02-02,1979-02-07,New Zealand,Pakistan,Pakistan,128,Runs,Christchurch,Test # 844
1979-02-02,1979-02-08,India,West Indies,Drawn,NA,NA,Kanpur,Test # 845
1979-02-10,1979-02-14,Australia,England,England,9,Wickets,Sydney,Test # 846
1979-02-16,1979-02-21,New Zealand,Pakistan,Drawn,NA,NA,Napier,Test # 847
1979-02-23,1979-02-28,New Zealand,Pakistan,Drawn,NA,NA,Auckland,Test # 848
1979-03-10,1979-03-15,Australia,Pakistan,Pakistan,71,Runs,Melbourne,Test # 849
1979-03-24,1979-03-29,Australia,Pakistan,Australia,7,Wickets,Perth,Test # 850
1979-07-12,1979-07-16,England,India,England,83,Innings,Birmingham,Test # 851
1979-08-02,1979-08-07,England,India,Drawn,NA,NA,Lord's,Test # 852
1979-08-16,1979-08-21,England,India,Drawn,NA,NA,Leeds,Test # 853
1979-08-30,1979-09-04,England,India,Drawn,NA,NA,The Oval,Test # 854
1979-09-11,1979-09-16,India,Australia,Drawn,NA,NA,Chennai,Test # 855
1979-09-19,1979-09-24,India,Australia,Drawn,NA,NA,Bengaluru,Test # 856
1979-10-02,1979-10-07,India,Australia,India,153,Runs,Kanpur,Test # 857
1979-10-13,1979-10-18,India,Australia,Drawn,NA,NA,Delhi,Test # 858
1979-10-26,1979-10-31,India,Australia,Drawn,NA,NA,Kolkata,Test # 859
1979-11-03,1979-11-07,India,Australia,India,100,Innings,Mumbai,Test # 860
1979-11-21,1979-11-26,India,Pakistan,Drawn,NA,NA,Bengaluru,Test # 861
1979-12-01,1979-12-05,Australia,West Indies,Drawn,NA,NA,Brisbane,Test # 862
1979-12-04,1979-12-09,India,Pakistan,Drawn,NA,NA,Delhi,Test # 863
1979-12-14,1979-12-19,Australia,England,Australia,138,Runs,Perth,Test # 864
1979-12-16,1979-12-20,India,Pakistan,India,131,Runs,Mumbai,Test # 865
1979-12-25,1979-12-30,India,Pakistan,Drawn,NA,NA,Kanpur,Test # 866
1979-12-29,1980-01-01,Australia,West Indies,West Indies,10,Wickets,Melbourne,Test # 867
1980-01-04,1980-01-08,Australia,England,Australia,6,Wickets,Sydney,Test # 868
1980-01-15,1980-01-20,India,Pakistan,India,10,Wickets,Chennai,Test # 869
1980-01-26,1980-01-30,Australia,West Indies,West Indies,408,Runs,Adelaide,Test # 870
1980-01-29,1980-02-03,India,Pakistan,Drawn,NA,NA,Kolkata,Test # 871
1980-02-01,1980-02-06,Australia,England,Australia,8,Wickets,Melbourne,Test # 872
1980-02-08,1980-02-13,New Zealand,West Indies,New Zealand,1,wicket,Dunedin,Test # 873
1980-02-15,1980-02-19,India,England,England,10,Wickets,Mumbai,Test # 874
1980-02-22,1980-02-27,New Zealand,West Indies,Drawn,NA,NA,Christchurch,Test # 875
1980-02-27,1980-03-02,Pakistan,Australia,Pakistan,7,Wickets,Karachi,Test # 876
1980-02-29,1980-03-05,New Zealand,West Indies,Drawn,NA,NA,Auckland,Test # 877
1980-03-06,1980-03-11,Pakistan,Australia,Drawn,NA,NA,Faisalabad,Test # 878
1980-03-18,1980-03-23,Pakistan,Australia,Drawn,NA,NA,Lahore,Test # 879
1980-06-05,1980-06-10,England,West Indies,West Indies,2,Wickets,Nottingham,Test # 880
1980-06-19,1980-06-24,England,West Indies,Drawn,NA,NA,Lord's,Test # 881
1980-07-10,1980-07-15,England,West Indies,Drawn,NA,NA,Manchester,Test # 882
1980-07-24,1980-07-29,England,West Indies,Drawn,NA,NA,The Oval,Test # 883
1980-08-07,1980-08-12,England,West Indies,Drawn,NA,NA,Leeds,Test # 884
1980-08-28,1980-09-02,England,Australia,Drawn,NA,NA,Lord's,Test # 885
1980-11-24,1980-11-29,Pakistan,West Indies,Drawn,NA,NA,Lahore,Test # 886
1980-11-28,1980-11-30,Australia,New Zealand,Australia,10,Wickets,Brisbane,Test # 887
1980-12-08,1980-12-12,Pakistan,West Indies,West Indies,156,Runs,Faisalabad,Test # 888
1980-12-12,1980-12-14,Australia,New Zealand,Australia,8,Wickets,Perth,Test # 889
1980-12-22,1980-12-27,Pakistan,West Indies,Drawn,NA,NA,Karachi,Test # 890
1980-12-26,1980-12-30,Australia,New Zealand,Drawn,NA,NA,Melbourne,Test # 891
1980-12-30,1981-01-04,Pakistan,West Indies,Drawn,NA,NA,Multan,Test # 892
1981-01-02,1981-01-04,Australia,India,Australia,4,Innings,Sydney,Test # 893
1981-01-23,1981-01-27,Australia,India,Drawn,NA,NA,Adelaide,Test # 894
1981-02-07,1981-02-11,Australia,India,India,59,Runs,Melbourne,Test # 895
1981-02-13,1981-02-18,West Indies,England,West Indies,79,Innings,Port of Spain,Test # 896
1981-02-21,1981-02-25,New Zealand,India,New Zealand,62,Runs,Wellington,Test # 897
1981-03-06,1981-03-11,New Zealand,India,Drawn,NA,NA,Christchurch,Test # 898
1981-03-13,1981-03-18,New Zealand,India,Drawn,NA,NA,Auckland,Test # 899
1981-03-13,1981-03-18,West Indies,England,West Indies,298,Runs,Bridgetown,Test # 900
1981-03-27,1981-04-01,West Indies,England,Drawn,NA,NA,St John's,Test # 901
1981-04-10,1981-04-15,West Indies,England,Drawn,NA,NA,Kingston,Test # 902
1981-06-18,1981-06-21,England,Australia,Australia,4,Wickets,Nottingham,Test # 903
1981-07-02,1981-07-07,England,Australia,Drawn,NA,NA,Lord's,Test # 904
1981-07-16,1981-07-21,England,Australia,England,18,Runs,Leeds,Test # 905
1981-07-30,1981-08-02,England,Australia,England,29,Runs,Birmingham,Test # 906
1981-08-13,1981-08-17,England,Australia,England,103,Runs,Manchester,Test # 907
1981-08-27,1981-09-01,England,Australia,Drawn,NA,NA,The Oval,Test # 908
1981-11-13,1981-11-17,Australia,Pakistan,Australia,286,Runs,Perth,Test # 909
1981-11-27,1981-12-01,Australia,Pakistan,Australia,10,Wickets,Brisbane,Test # 910
1981-11-27,1981-12-01,India,England,India,138,Runs,Mumbai,Test # 911
1981-12-09,1981-12-14,India,England,Drawn,NA,NA,Bengaluru,Test # 912
1981-12-11,1981-12-15,Australia,Pakistan,Pakistan,82,Innings,Melbourne,Test # 913
1981-12-23,1981-12-28,India,England,Drawn,NA,NA,Delhi,Test # 914
